ENSG00000186092.7	OR4F5
ENSG00000284733.2	OR4F29
ENSG00000284662.2	OR4F16
ENSG00000187634.13	SAMD11
ENSG00000188976.11	NOC2L
ENSG00000187961.15	KLHL17
ENSG00000187583.11	PLEKHN1
ENSG00000187642.10	PERM1
ENSG00000188290.11	HES4
ENSG00000187608.10	ISG15
ENSG00000188157.16	AGRN
ENSG00000237330.3	RNF223
ENSG00000131591.18	C1orf159
ENSG00000162571.14	TTLL10
ENSG00000186891.14	TNFRSF18
ENSG00000186827.12	TNFRSF4
ENSG00000078808.20	SDF4
ENSG00000176022.7	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000160087.21	UBE2J2
ENSG00000162572.21	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000169972.13	PUSL1
ENSG00000127054.22	INTS11
ENSG00000224051.7	CPTP
ENSG00000169962.5	TAS1R3
ENSG00000107404.21	DVL1
ENSG00000162576.17	MXRA8
ENSG00000175756.14	AURKAIP1
ENSG00000221978.13	CCNL2
ENSG00000242485.6	MRPL20
ENSG00000235098.9	ANKRD65
ENSG00000205116.4	TMEM88B
ENSG00000179403.12	VWA1
ENSG00000215915.10	ATAD3C
ENSG00000160072.20	ATAD3B
ENSG00000197785.14	ATAD3A
ENSG00000205090.10	TMEM240
ENSG00000160075.12	SSU72
ENSG00000228594.4	FNDC10
ENSG00000197530.13	MIB2
ENSG00000189409.14	MMP23B
ENSG00000248333.9	CDK11B
ENSG00000189339.12	SLC35E2B
ENSG00000008128.23	CDK11A
ENSG00000008130.15	NADK
ENSG00000078369.19	GNB1
ENSG00000169885.10	CALML6
ENSG00000178821.13	TMEM52
ENSG00000142609.20	CFAP74
ENSG00000187730.9	GABRD
ENSG00000067606.17	PRKCZ
ENSG00000162585.17	FAAP20
ENSG00000157933.11	SKI
ENSG00000116151.14	MORN1
ENSG00000157916.20	RER1
ENSG00000157911.11	PEX10
ENSG00000149527.18	PLCH2
ENSG00000157881.16	PANK4
ENSG00000197921.6	HES5
ENSG00000157873.18	TNFRSF14
ENSG00000157870.17	PRXL2B
ENSG00000142606.16	MMEL1
ENSG00000215912.13	TTC34
ENSG00000169717.7	ACTRT2
ENSG00000142611.17	PRDM16
ENSG00000130762.15	ARHGEF16
ENSG00000162591.17	MEGF6
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000078900.16	TP73
ENSG00000162592.10	CCDC27
ENSG00000235169.11	SMIM1
ENSG00000130764.10	LRRC47
ENSG00000116198.14	CEP104
ENSG00000169598.17	DFFB
ENSG00000198912.12	C1orf174
ENSG00000196581.11	AJAP1
ENSG00000131697.18	NPHP4
ENSG00000069424.16	KCNAB2
ENSG00000116254.18	CHD5
ENSG00000285629.1	ENSG00000285629
ENSG00000116251.11	RPL22
ENSG00000158286.13	RNF207
ENSG00000116237.16	ICMT
ENSG00000173673.9	HES3
ENSG00000158292.7	GPR153
ENSG00000097021.21	ACOT7
ENSG00000069812.11	HES2
ENSG00000187017.18	ESPN
ENSG00000215788.11	TNFRSF25
ENSG00000171680.23	PLEKHG5
ENSG00000162408.11	NOL9
ENSG00000173662.21	TAS1R1
ENSG00000204859.13	ZBTB48
ENSG00000162413.17	KLHL21
ENSG00000116273.6	PHF13
ENSG00000041988.16	THAP3
ENSG00000007923.17	DNAJC11
ENSG00000171735.21	CAMTA1
ENSG00000049245.13	VAMP3
ENSG00000049246.15	PER3
ENSG00000049247.14	UTS2
ENSG00000049249.10	TNFRSF9
ENSG00000116288.13	PARK7
ENSG00000116285.13	ERRFI1
ENSG00000162426.16	SLC45A1
ENSG00000142599.20	RERE
ENSG00000074800.16	ENO1
ENSG00000131686.15	CA6
ENSG00000197241.4	SLC2A7
ENSG00000142583.18	SLC2A5
ENSG00000180758.12	GPR157
ENSG00000049239.13	H6PD
ENSG00000171621.14	SPSB1
ENSG00000171612.7	SLC25A33
ENSG00000188807.13	TMEM201
ENSG00000171608.18	PIK3CD
ENSG00000171603.18	CLSTN1
ENSG00000178585.15	CTNNBIP1
ENSG00000162441.12	LZIC
ENSG00000173614.14	NMNAT1
ENSG00000162444.12	RBP7
ENSG00000130939.20	UBE4B
ENSG00000054523.20	KIF1B
ENSG00000142657.21	PGD
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.22	CENPS
ENSG00000241563.4	CORT
ENSG00000160049.12	DFFA
ENSG00000142655.13	PEX14
ENSG00000130940.15	CASZ1
ENSG00000175262.15	C1orf127
ENSG00000120948.19	TARDBP
ENSG00000009724.18	MASP2
ENSG00000116649.10	SRM
ENSG00000171824.14	EXOSC10
ENSG00000198793.14	MTOR
ENSG00000171819.5	ANGPTL7
ENSG00000120942.14	UBIAD1
ENSG00000204624.8	DISP3
ENSG00000116661.11	FBXO2
ENSG00000132879.14	FBXO44
ENSG00000116670.17	MAD2L2
ENSG00000116663.11	FBXO6
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000215910.8	C1orf167
ENSG00000177000.13	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000175206.11	NPPA
ENSG00000120937.9	NPPB
ENSG00000116685.17	KIAA2013
ENSG00000083444.17	PLOD1
ENSG00000116688.18	MFN2
ENSG00000116691.11	MIIP
ENSG00000120949.15	TNFRSF8
ENSG00000028137.19	TNFRSF1B
ENSG00000048707.15	VPS13D
ENSG00000162496.10	DHRS3
ENSG00000204518.3	AADACL4
ENSG00000188984.12	AADACL3
ENSG00000157330.10	CFAP107
ENSG00000116726.5	PRAMEF12
ENSG00000116721.9	PRAMEF1
ENSG00000239810.3	PRAMEF11
ENSG00000179172.10	HNRNPCL1
ENSG00000120952.4	PRAMEF2
ENSG00000243073.4	PRAMEF4
ENSG00000187545.5	PRAMEF10
ENSG00000204510.6	PRAMEF7
ENSG00000232423.6	PRAMEF6
ENSG00000274764.6	PRAMEF27
ENSG00000277058.3	HNRNPCL3
ENSG00000229571.7	PRAMEF25
ENSG00000275774.3	HNRNPCL2
ENSG00000280267.7	PRAMEF26
ENSG00000179412.11	HNRNPCL4
ENSG00000204505.5	PRAMEF9
ENSG00000279169.3	PRAMEF13
ENSG00000279804.3	PRAMEF18
ENSG00000270601.5	PRAMEF5
ENSG00000182330.11	PRAMEF8
ENSG00000237700.2	PRAMEF33
ENSG00000204501.7	PRAMEF15
ENSG00000204481.8	PRAMEF14
