chr	start	end	gene	score	strand	line1_count
chr1	944800	945056	NOC2L	0	-	0
chr1	945146	945517	NOC2L	0	-	0
chr1	945653	946172	NOC2L	0	-	0
chr1	946286	946401	NOC2L	0	-	0
chr1	946545	948130	NOC2L	0	-	0
chr1	948232	948489	NOC2L	0	-	0
chr1	948603	951126	NOC2L	0	-	0
chr1	951238	951999	NOC2L	0	-	0
chr1	952139	952411	NOC2L	0	-	0
chr1	952600	953174	NOC2L	0	-	0
chr1	953288	953781	NOC2L	0	-	0
chr1	953892	954003	NOC2L	0	-	0
chr1	954082	955922	NOC2L	0	-	0
chr1	956013	956094	NOC2L	0	-	0
chr1	956215	956893	NOC2L	0	-	0
chr1	957025	957098	NOC2L	0	-	0
chr1	957273	958928	NOC2L	0	-	0
chr1	959081	959214	NOC2L	0	-	0
chr1	1217688	1218457	SDF4	0	-	0
chr1	1217804	1218457	SDF4	0	-	0
chr1	1218633	1218768	SDF4	0	-	0
chr1	1218633	1218768	SDF4	0	-	0
chr1	1218927	1223243	SDF4	0	-	0
chr1	1218927	1223243	SDF4	0	-	0
chr1	1223357	1223831	SDF4	0	-	0
chr1	1223357	1223831	SDF4	0	-	0
chr1	1223968	1228467	SDF4	0	-	2
chr1	1223968	1228467	SDF4	0	-	2
chr1	1228946	1231891	SDF4	0	-	0
chr1	1228946	1231891	SDF4	0	-	0
chr1	1336515	1337976	DVL1	0	-	0
chr1	1336515	1337976	DVL1	0	-	0
chr1	1338183	1338268	DVL1	0	-	0
chr1	1338183	1338268	DVL1	0	-	0
chr1	1338436	1338521	DVL1	0	-	0
chr1	1338436	1338521	DVL1	0	-	0
chr1	1338653	1339361	DVL1	0	-	0
chr1	1338653	1339286	DVL1	0	-	0
chr1	1339439	1339581	DVL1	0	-	0
chr1	1339439	1339581	DVL1	0	-	0
chr1	1339649	1339735	DVL1	0	-	0
chr1	1339649	1339735	DVL1	0	-	0
chr1	1339812	1340037	DVL1	0	-	0
chr1	1339812	1340037	DVL1	0	-	0
chr1	1340177	1340246	DVL1	0	-	0
chr1	1340177	1340246	DVL1	0	-	0
chr1	1340316	1340409	DVL1	0	-	0
chr1	1340316	1340409	DVL1	0	-	0
chr1	1340503	1341666	DVL1	0	-	0
chr1	1340503	1341666	DVL1	0	-	0
chr1	1341805	1342052	DVL1	0	-	0
chr1	1341805	1342052	DVL1	0	-	0
chr1	1342156	1342362	DVL1	0	-	0
chr1	1342156	1342362	DVL1	0	-	0
chr1	1342484	1342688	DVL1	0	-	0
chr1	1342484	1342688	DVL1	0	-	0
