chr	start	end	gene	score	strand	line1_count
chr1	921922	925922	SAMD11	0	+	0
chr1	2225387	2229387	SKI	0	+	0
chr1	8846921	8850921	RERE	0	-	2
chr1	8943866	8947866	CA6	0	+	0
chr1	10794650	10798650	CASZ1	0	-	0
chr1	11260556	11264556	MTOR	0	-	3
chr1	11804455	11808455	MTHFR	0	-	3
chr1	15834094	15838094	SPEN	0	+	0
chr1	22708838	22712838	EPHB2	0	+	0
chr1	23342336	23346336	HNRNPR	0	-	0
chr1	27602431	27606431	AHDC1	0	-	0
chr1	32070030	32074030	TMEM39B	0	+	0
chr1	34927650	34931650	DLGAP3	0	-	0
chr1	35806015	35810015	AGO4	0	+	0
chr1	35867807	35871807	AGO1	0	+	5
chr1	35928717	35932717	AGO3	0	+	1
chr1	37032515	37036515	GRIK3	0	-	0
chr1	37857592	37861592	MTF1	0	-	0
chr1	40342849	40346849	SMAP2	0	+	1
chr1	40663682	40667682	RIMS3	0	-	1
chr1	42033925	42037925	HIVEP3	0	-	2
chr1	46218305	46222305	POMGNT1	0	-	0
chr1	50021954	50025954	AGBL4	0	-	0
chr1	52925275	52929275	SCP2	0	+	0
chr1	53194791	53198791	CPT2	0	+	0
chr1	53737164	53741164	GLIS1	0	-	0
chr1	60863258	60867258	NFIA	0	+	0
chr1	61740476	61744476	PATJ	0	+	1
chr1	70203681	70207681	SRSF11	0	+	0
chr1	72280539	72284539	NEGR1	0	-	0
chr1	96719664	96723664	PTBP2	0	+	0
chr1	97993000	97997000	DPYD	0	-	0
chr1	107138006	107142006	NTNG1	0	+	0
chr1	109685813	109689813	GSTM1	0	+	0
chr1	111501633	111505633	ADORA3	0	-	0
chr1	111987668	111991668	KCND3	0	-	0
chr1	114509203	114513203	TRIM33	0	-	0
chr1	114693618	114697618	AMPD1	0	-	2
chr1	114756676	114760676	CSDE1	0	-	0
chr1	115974512	115978512	SLC22A15	0	+	3
chr1	116370667	116374667	ATP1A1	0	+	0
chr1	150267580	150271580	APH1A	0	-	0
chr1	150924262	150928262	SETDB1	0	+	0
chr1	151457494	151461494	POGZ	0	-	0
chr1	153669028	153673028	ILF2	0	-	2
chr1	154218178	154222178	UBAP2L	0	+	1
chr1	155561162	155565162	ASH1L	0	-	0
