chr	start	end	gene	score	strand	line1_count
chr1	957309	961309	NOC2L	0	-	0
chr1	1230031	1234031	SDF4	0	-	0
chr1	1347418	1351418	DVL1	0	-	0
chr1	1373207	1377207	AURKAIP1	0	-	0
chr1	1397335	1401335	CCNL2	0	-	0
chr1	1405293	1409293	MRPL20	0	-	1
chr1	1572863	1576863	SSU72	0	-	0
chr1	1890292	1894292	GNB1	0	-	1
chr1	2389774	2393774	RER1	0	+	0
chr1	3623014	3627014	TPRG1L	0	+	0
chr1	3794498	3798498	LRRC47	0	-	0
chr1	3898293	3902293	C1orf174	0	-	1
chr1	6207389	6211389	RPL22	0	-	0
chr1	6233972	6237972	ICMT	0	-	2
chr1	6611730	6615730	PHF13	0	+	0
chr1	6612607	6616607	KLHL21	0	-	0
chr1	6699924	6703924	DNAJC11	0	-	0
chr1	6783453	6787453	CAMTA1	0	+	1
chr1	7769295	7773295	VAMP3	0	+	0
chr1	7952290	7956290	PARK7	0	+	1
chr1	8877190	8881190	ENO1	0	-	0
chr1	11010343	11014343	TARDBP	0	+	0
chr1	11058020	11062020	SRM	0	-	0
chr1	11097869	11101869	EXOSC10	0	-	0
chr1	11689811	11693811	MAD2L2	0	-	0
chr1	11924428	11928428	KIAA2013	0	-	0
chr1	11932204	11936204	PLOD1	0	+	1
chr1	11978180	11982180	MFN2	0	+	0
chr1	12017465	12021465	MIIP	0	+	2
chr1	15974132	15978132	ZBTB17	0	-	2
chr1	16350480	16354480	FBXO42	0	-	0
chr1	17052151	17056151	SDHB	0	-	0
chr1	17437677	17441677	RCC2	0	-	0
chr1	19208266	19212266	UBR4	0	-	0
chr1	19249804	19253804	MRTO4	0	+	0
chr1	19310144	19314144	AKR7A2	0	-	0
chr1	20506151	20510151	MUL1	0	-	3
chr1	20785323	20789323	HP1BP3	0	-	0
chr1	21781606	21785606	USP48	0	-	0
chr1	22050626	22054626	CDC42	0	+	0
chr1	23689741	23693741	RPL11	0	+	0
chr1	23741447	23745447	ELOA	0	+	0
chr1	23776417	23780417	PITHD1	0	+	0
chr1	23954838	23958838	PNRC2	0	+	0
chr1	23978927	23982927	SRSF10	0	-	0
chr1	24629715	24633715	SRRM1	0	+	0
chr1	25230502	25234502	SYF2	0	-	1
chr1	25336316	25340316	TMEM50A	0	+	1
chr1	25816639	25820639	MTFR1L	0	+	0
chr1	26167907	26171907	ZNF593	0	+	0
chr1	26470439	26474439	HMGN2	0	+	0
chr1	26888283	26892283	GPN2	0	-	0
chr1	26898237	26902237	NUDC	0	+	1
chr1	27771218	27775218	STX12	0	+	0
chr1	27828781	27832781	PPP1R8	0	+	0
chr1	27912746	27916746	RPA2	0	-	0
chr1	28231029	28235029	DNAJC8	0	-	4
chr1	28234108	28238108	ATP5IF1	0	+	0
chr1	29179900	29183900	SRSF4	0	-	3
chr1	31294981	31298981	ZCCHC17	0	+	0
chr1	31642896	31646896	PEF1	0	-	1
chr1	31942856	31946856	PTP4A2	0	-	0
chr1	32011867	32015867	KHDRBS1	0	+	0
chr1	32106055	32110055	KPNA6	0	+	0
chr1	32219076	32223076	EIF3I	0	+	0
chr1	32392731	32396731	BSDC1	0	-	0
chr1	33078996	33082996	AK2	0	-	1
chr1	34857755	34861755	SMIM12	0	-	0
chr1	35191446	35195446	SFPQ	0	-	0
chr1	35555950	35559950	KIAA0319L	0	-	0
chr1	35639526	35643526	PSMB2	0	-	2
chr1	36154053	36158053	TRAPPC3	0	-	0
chr1	36222431	36226431	THRAP3	0	+	0
chr1	36395908	36399908	LSM10	0	-	0
chr1	37593937	37597937	GNL2	0	-	0
chr1	37988075	37992075	SF3A3	0	-	3
chr1	38857772	38861772	RRAGC	0	-	0
chr1	38989275	38993275	AKIRIN1	0	+	0
chr1	39574790	39578790	PABPC4	0	-	0
chr1	40038232	40042232	CAP1	0	+	0
chr1	40095260	40099260	PPT1	0	-	0
chr1	40256040	40260040	ZMPSTE24	0	+	0
chr1	40689647	40693647	NFYC	0	+	0
chr1	42656334	42660334	PPIH	0	+	2
chr1	42680417	42684417	YBX1	0	+	0
chr1	42815397	42819397	SVBP	0	-	4
chr1	43268936	43272936	EBNA1BP2	0	-	0
chr1	43366074	43370074	ELOVL1	0	-	0
chr1	43944949	43948949	IPO13	0	+	0
chr1	43972486	43976486	ATP6V0B	0	+	0
chr1	44353260	44357260	ERI3	0	-	0
chr1	44773250	44777250	RPS8	0	+	2
chr1	44984722	44988722	EIF2B3	0	-	0
chr1	45008949	45012949	UROD	0	+	0
chr1	45540732	45544732	PRDX1	0	-	2
chr1	45548542	45552542	AKR1A1	0	+	0
chr1	46301616	46305616	LRRC41	0	-	0
chr1	46301697	46305697	UQCRH	0	+	0
chr1	46671867	46675867	ATPAF1	0	-	0
chr1	46717146	46721146	EFCAB14	0	-	0
chr1	47331789	47335789	CMPK1	0	+	0
chr1	51234272	51238272	RNF11	0	+	0
chr1	52053772	52057772	TXNDC12	0	-	0
chr1	52054198	52058198	BTF3L4	0	+	0
chr1	52402601	52406601	PRPF38A	0	+	0
chr1	52724452	52728452	ZYG11B	0	+	1
chr1	53236518	53240518	MAGOH	0	-	0
chr1	53944076	53948076	LRRC42	0	+	0
chr1	54051504	54055504	TMEM59	0	-	0
chr1	54182040	54186040	MRPL37	0	+	2
chr1	65065754	65069754	JAK1	0	-	0
chr1	65418586	65422586	LEPROT	0	+	0
chr1	67428415	67432415	SERBP1	0	-	0
chr1	71079289	71083289	ZRANB2	0	-	4
chr1	75784196	75788196	RABGGTB	0	+	1
chr1	77977110	77981110	FUBP1	0	-	0
chr1	84477258	84481258	RPF1	0	+	1
chr1	86702569	86706569	SH3GLB1	0	+	0
chr1	86912424	86916424	SELENOF	0	-	0
chr1	87326879	87330879	LMO4	0	+	0
chr1	88889944	88893944	GTF2B	0	-	0
chr1	92830012	92834012	RPL5	0	+	2
chr1	100036094	100040094	MFSD14A	0	+	2
chr1	108690309	108694309	PRPF38B	0	+	2
chr1	108744673	108748673	STXBP3	0	+	0
chr1	109088763	109092763	TMEM167B	0	+	0
chr1	109424448	109428448	PSMA5	0	-	1
chr1	109982764	109986764	AHCYL1	0	+	0
chr1	110405942	110409942	LAMTOR5	0	-	2
chr1	112617804	112621804	CAPZA1	0	+	0
chr1	112705434	112709434	RHOC	0	-	1
chr1	113927323	113931323	HIPK1	0	+	0
chr1	114579629	114583629	BCAS2	0	-	0
chr1	117365448	117369448	MAN1A2	0	+	0
chr1	145822052	145826052	POLR3C	0	+	2
chr1	145925678	145929678	RBM8A	0	-	0
chr1	145962689	145966689	POLR3GL	0	+	0
chr1	149925803	149929803	SF3B4	0	-	0
chr1	150319478	150323478	PRPF3	0	+	0
chr1	150361090	150365090	RPRD2	0	+	2
chr1	150627612	150631612	ENSA	0	-	0
chr1	150874708	150878708	ARNT	0	-	0
chr1	150973003	150977003	CERS2	0	-	0
chr1	151068325	151072325	CDC42SE1	0	-	0
chr1	151252708	151256708	PSMD4	0	+	4
chr1	151397559	151401559	PSMB4	0	+	0
chr1	151610005	151614005	SNX27	0	+	0
chr1	151761496	151765496	MRPL9	0	-	0
chr1	153534244	153538244	S100A6	0	-	0
chr1	153631981	153635981	CHTOP	0	+	0
chr1	153656702	153660702	SNAPIN	0	+	1
chr1	153921360	153925360	GATAD2B	0	-	0
chr1	153944718	153948718	DENND4B	0	-	0
chr1	153966184	153970184	SLC39A1	0	-	0
chr1	153975674	153979674	JTB	0	-	0
chr1	153984358	153988358	RAB13	0	-	0
chr1	153988761	153992761	RPS27	0	+	0
chr1	154192648	154196648	TPM3	0	-	0
chr1	154218637	154222637	C1orf43	0	-	0
chr1	154270354	154274354	HAX1	0	+	1
chr1	154557028	154561028	UBE2Q1	0	-	0
chr1	154934719	154938719	PMVK	0	-	0
chr1	155138595	155142595	DPM3	0	-	2
chr1	155171475	155175475	KRTCAP2	0	-	0
chr1	155260433	155264433	SCAMP3	0	-	0
chr1	155685959	155689959	DAP3	0	+	0
chr1	155932413	155936413	KHDC4	0	-	1
chr1	156018951	156022951	SSR2	0	-	0
chr1	156051798	156055798	UBQLN4	0	-	0
chr1	156052781	156056781	LAMTOR2	0	+	0
chr1	156080571	156084571	LMNA	0	+	0
chr1	156210992	156214992	PMF1	0	+	0
chr1	156589755	156593755	NAXE	0	+	0
chr1	156599496	156603496	GPATCH4	0	-	0
chr1	156739590	156743590	MRPL24	0	-	0
chr1	156748609	156752609	PRCC	0	+	0
chr1	160096943	160100943	IGSF8	0	-	0
chr1	160203379	160207379	PEA15	0	+	0
chr1	160341566	160345566	COPA	0	-	1
chr1	161116055	161120055	PFDN2	0	-	0
chr1	161150775	161154775	UFC1	0	+	4
chr1	161175968	161179968	B4GALT3	0	-	0
chr1	161764297	161768297	ATF6	0	+	1
chr1	165629212	165633212	MGST3	0	+	1
chr1	165696562	165700562	ALDH9A1	0	-	1
chr1	165825755	165829755	TMCO1	0	-	0
chr1	167551805	167555805	CREG1	0	-	1
chr1	167719191	167723191	MPZL1	0	+	0
chr1	167935072	167939072	MPC2	0	-	2
chr1	173475329	173479329	PRDX6	0	+	0
chr1	175021425	175025425	MRPS14	0	-	1
chr1	179023803	179027803	FAM20B	0	+	0
chr1	179080069	179084069	TOR3A	0	+	0
chr1	179880041	179884041	TOR1AIP1	0	+	0
chr1	180152868	180156868	QSOX1	0	+	0
chr1	180500954	180504954	ACBD6	0	-	3
chr1	186373693	186377693	TPR	0	-	0
chr1	186373837	186377837	ODR4	0	+	0
chr1	193104114	193108114	GLRX2	0	-	2
chr1	201169574	201173574	TMEM9	0	-	0
