chr	start	end	gene	score	strand	line1_count
chr1	8316113	8320113	SLC45A1	0	+	0
chr1	8846921	8850921	RERE	0	-	2
chr1	11260556	11264556	MTOR	0	-	3
chr1	23342336	23346336	HNRNPR	0	-	0
chr1	26691235	26695235	ARID1A	0	+	0
chr1	27164981	27168981	SLC9A1	0	-	0
chr1	27602431	27606431	AHDC1	0	-	0
chr1	39079315	39083315	MACF1	0	+	0
chr1	46218305	46222305	POMGNT1	0	-	0
chr1	63365574	63369574	ALG6	0	+	1
chr1	107138006	107142006	NTNG1	0	+	0
chr1	114756676	114760676	CSDE1	0	-	0
chr1	116370667	116374667	ATP1A1	0	+	0
chr1	151457494	151461494	POGZ	0	-	0
chr1	182837346	182841346	DHX9	0	+	1
chr1	211132165	211136165	KCNH1	0	-	0
chr1	224435033	224439033	WDR26	0	-	0
chr1	230055989	230059989	GALNT2	0	+	2
chr1	244046546	244050546	ZBTB18	0	+	0
chr1	244862560	244866560	HNRNPU	0	-	0
chr10	10796396	10800396	CELF2	0	+	1
chr10	28530492	28534492	WAC	0	+	0
chr10	78027522	78031522	POLR3A	0	-	0
chr10	79066965	79070965	ZMIZ1	0	+	0
chr10	87860637	87864637	PTEN	0	+	0
chr10	102640502	102644502	TRIM8	0	+	0
chr10	110565683	110569683	SMC3	0	+	1
chr10	117373440	117377440	PDZD8	0	-	0
chr10	129971053	129975053	EBF3	0	-	0
chr11	705118	709118	DEAF1	0	-	0
chr11	1387898	1391898	BRSK2	0	+	0
chr11	8908951	8912951	DENND2B	0	-	0
chr11	10749017	10753017	CTR9	0	+	1
chr11	16737591	16741591	SOX6	0	-	1
chr11	31815961	31819961	PAX6	0	-	0
chr11	46119454	46123454	PHF21A	0	-	0
chr11	62725457	62729457	HNRNPUL2	0	-	0
chr11	66068271	66072271	PACS1	0	+	1
chr11	71450868	71454868	DHCR7	0	-	2
chr11	77472635	77476635	PAK1	0	-	0
chr11	118434455	118438455	KMT2A	0	+	0
chr11	124934412	124938412	HEPACAM	0	-	0
chr12	1968771	1972771	CACNA1C	0	+	0
chr12	6612524	6616524	CHD4	0	-	0
chr12	6940977	6944977	C12orf57	0	+	0
chr12	24560544	24564544	SOX5	0	-	0
chr12	45727705	45731705	ARID2	0	+	0
chr12	48850842	48854842	DDX23	0	-	0
chr12	56187567	56191567	SMARCC2	0	-	0
chr12	78861992	78865992	SYT1	0	+	0
chr12	88140099	88144099	CEP290	0	-	0
chr12	89707366	89711366	ATP2B1	0	-	0
chr12	99982936	99986936	ANKS1B	0	-	0
chr12	106581003	106585003	RFX4	0	+	0
chr12	111032164	111036164	CUX2	0	+	0
chr12	112416350	112420350	PTPN11	0	+	0
chr12	116275693	116279693	MED13L	0	-	0
chr12	121802008	121806008	SETD1B	0	+	0
chr12	132487550	132491550	FBRSL1	0	+	0
chr13	19956676	19960676	ZMYM2	0	+	0
chr13	26252103	26256103	CDK8	0	+	0
chr13	34940269	34944269	NBEA	0	+	0
chr13	100087014	100091014	PCCA	0	+	1
chr13	114312481	114316481	CHAMP1	0	+	4
chr14	21382019	21386019	SUPT16H	0	-	0
chr14	21454126	21458126	CHD8	0	-	0
chr14	28762328	28766328	FOXG1	0	+	0
chr14	30189898	30193898	PRKD1	0	-	1
chr14	39168532	39172532	TRAPPC6B	0	-	0
chr14	77026708	77030708	IRF2BPL	0	-	0
chr14	99479168	99483168	CCNK	0	+	1
chr14	100236297	100240297	YY1	0	+	0
chr14	101759708	101763708	PPP2R5C	0	+	0
chr14	105298562	105302562	PACS2	0	+	4
chr15	23645867	23649867	MAGEL2	0	-	0
chr15	25437051	25441051	UBE3A	0	-	0
chr15	28320179	28324179	HERC2	0	-	2
chr15	37099299	37103299	MEIS2	0	-	0
chr15	44193271	44197271	FRMD5	0	-	0
chr15	45400327	45404327	GATM	0	-	0
chr15	56243082	56247082	RFX7	0	-	0
chr15	61227302	61231302	RORA	0	-	0
chr15	63831948	63835948	HERC1	0	-	0
chr15	64354173	64358173	CSNK1G1	0	-	0
chr15	75453842	75457842	SIN3A	0	-	0
chr15	92884202	92888202	CHD2	0	+	0
