chr	start	end	gene	score	strand	line1_count
chr1	924948	925921	SAMD11	0	+	0
chr1	924948	925921	SAMD11	0	+	0
chr1	925800	925921	SAMD11	0	+	0
chr1	926013	930154	SAMD11	0	+	0
chr1	926013	930154	SAMD11	0	+	0
chr1	926013	930154	SAMD11	0	+	0
chr1	930336	931038	SAMD11	0	+	0
chr1	930336	931038	SAMD11	0	+	0
chr1	930336	931038	SAMD11	0	+	0
chr1	931089	935771	SAMD11	0	+	0
chr1	931089	935771	SAMD11	0	+	0
chr1	931089	935771	SAMD11	0	+	0
chr1	935896	939039	SAMD11	0	+	0
chr1	935896	939039	SAMD11	0	+	0
chr1	935896	939039	SAMD11	0	+	0
chr1	939129	939274	SAMD11	0	+	0
chr1	939129	939271	SAMD11	0	+	0
chr1	939129	939274	SAMD11	0	+	0
chr1	939412	941143	SAMD11	0	+	0
chr1	939412	941143	SAMD11	0	+	0
chr1	939460	941143	SAMD11	0	+	0
chr1	941306	942135	SAMD11	0	+	0
chr1	941306	942135	SAMD11	0	+	0
chr1	941306	942135	SAMD11	0	+	0
chr1	942251	942409	SAMD11	0	+	0
chr1	942251	942409	SAMD11	0	+	0
chr1	942251	942409	SAMD11	0	+	0
chr1	942488	942558	SAMD11	0	+	0
chr1	942488	942558	SAMD11	0	+	0
chr1	942488	942558	SAMD11	0	+	0
chr1	943058	943252	SAMD11	0	+	0
chr1	943058	943252	SAMD11	0	+	0
chr1	943058	943252	SAMD11	0	+	0
chr1	943377	943697	SAMD11	0	+	0
chr1	943377	943697	SAMD11	0	+	0
chr1	943377	943697	SAMD11	0	+	0
chr1	943808	943907	SAMD11	0	+	0
chr1	943808	943907	SAMD11	0	+	0
chr1	943808	943907	SAMD11	0	+	0
chr1	2229735	2302977	SKI	0	+	19
chr1	2303103	2303284	SKI	0	+	0
chr1	2303400	2303839	SKI	0	+	0
chr1	2304102	2304292	SKI	0	+	0
chr1	2304585	2306019	SKI	0	+	0
chr1	2306250	2306576	SKI	0	+	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355120	8355418	RERE	0	-	0
chr1	8355599	8356099	RERE	0	-	0
chr1	8355599	8356099	RERE	0	-	0
chr1	8355599	8356099	RERE	0	-	0
chr1	8355599	8356099	RERE	0	-	0
chr1	8355599	8364745	RERE	0	-	0
chr1	8355599	8356099	RERE	0	-	0
chr1	8356246	8358195	RERE	0	-	0
chr1	8356246	8358195	RERE	0	-	0
chr1	8356246	8358195	RERE	0	-	0
chr1	8356246	8358195	RERE	0	-	0
chr1	8356246	8358195	RERE	0	-	0
chr1	8358916	8359763	RERE	0	-	0
chr1	8358916	8359763	RERE	0	-	0
chr1	8358916	8359763	RERE	0	-	0
chr1	8358916	8359763	RERE	0	-	0
chr1	8358916	8359763	RERE	0	-	0
chr1	8359986	8360111	RERE	0	-	0
chr1	8359986	8360111	RERE	0	-	0
chr1	8359986	8360111	RERE	0	-	0
chr1	8359986	8360111	RERE	0	-	0
chr1	8359986	8360111	RERE	0	-	0
chr1	8361490	8361762	RERE	0	-	0
chr1	8361490	8361762	RERE	0	-	0
chr1	8361490	8361762	RERE	0	-	0
chr1	8361490	8361762	RERE	0	-	0
chr1	8361490	8361762	RERE	0	-	0
chr1	8361876	8362682	RERE	0	-	0
chr1	8361876	8362682	RERE	0	-	0
chr1	8361876	8362682	RERE	0	-	0
chr1	8361876	8362682	RERE	0	-	0
chr1	8361876	8362682	RERE	0	-	0
chr1	8362844	8364055	RERE	0	-	0
chr1	8362844	8364055	RERE	0	-	0
chr1	8362844	8364055	RERE	0	-	0
chr1	8362844	8364055	RERE	0	-	0
chr1	8362844	8364055	RERE	0	-	0
chr1	8364255	8364745	RERE	0	-	0
chr1	8364255	8364745	RERE	0	-	0
chr1	8364255	8364745	RERE	0	-	0
chr1	8364255	8364745	RERE	0	-	0
chr1	8364255	8364745	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8364838	8365811	RERE	0	-	0
chr1	8365974	8422726	RERE	0	-	16
chr1	8365974	8422726	RERE	0	-	16
chr1	8365974	8422726	RERE	0	-	16
chr1	8365974	8422726	RERE	0	-	16
chr1	8365974	8422726	RERE	0	-	16
chr1	8365974	8422726	RERE	0	-	16
chr1	8422807	8465924	RERE	0	-	4
chr1	8422807	8465924	RERE	0	-	4
chr1	8422807	8465924	RERE	0	-	4
chr1	8422807	8424014	RERE	0	-	0
chr1	8422807	8465924	RERE	0	-	4
chr1	8422807	8423560	RERE	0	-	0
chr1	8438300	8465924	RERE	0	-	4
chr1	8438300	8449196	RERE	0	-	4
chr1	8449267	8465924	RERE	0	-	0
chr1	8466023	8495062	RERE	0	-	12
chr1	8466023	8495062	RERE	0	-	12
chr1	8466023	8495062	RERE	0	-	12
chr1	8466023	8495062	RERE	0	-	12
chr1	8466023	8495062	RERE	0	-	12
chr1	8466023	8495062	RERE	0	-	12
chr1	8495162	8497404	RERE	0	-	1
chr1	8495162	8497404	RERE	0	-	1
chr1	8495162	8497404	RERE	0	-	1
chr1	8495162	8497404	RERE	0	-	1
chr1	8495162	8497404	RERE	0	-	1
chr1	8495162	8497404	RERE	0	-	1
chr1	8497529	8508626	RERE	0	-	7
chr1	8497529	8508626	RERE	0	-	7
chr1	8497529	8508626	RERE	0	-	7
chr1	8497529	8508626	RERE	0	-	7
chr1	8497529	8508626	RERE	0	-	7
chr1	8497529	8508626	RERE	0	-	7
chr1	8508675	8541213	RERE	0	-	14
chr1	8508675	8541213	RERE	0	-	14
chr1	8508675	8525758	RERE	0	-	2
chr1	8508675	8541213	RERE	0	-	14
chr1	8508675	8541213	RERE	0	-	14
chr1	8508675	8525758	RERE	0	-	2
chr1	8541318	8556474	RERE	0	-	7
chr1	8541318	8556474	RERE	0	-	7
chr1	8541318	8556474	RERE	0	-	7
chr1	8541318	8556474	RERE	0	-	7
chr1	8556571	8557417	RERE	0	-	0
chr1	8556571	8557417	RERE	0	-	0
chr1	8556571	8557417	RERE	0	-	0
chr1	8556571	8557417	RERE	0	-	0
chr1	8557523	8614560	RERE	0	-	18
chr1	8557523	8614560	RERE	0	-	18
chr1	8557523	8614560	RERE	0	-	18
chr1	8557523	8614560	RERE	0	-	18
chr1	8614686	8624309	RERE	0	-	0
chr1	8614686	8624309	RERE	0	-	0
chr1	8614686	8624309	RERE	0	-	0
chr1	8614686	8624309	RERE	0	-	0
chr1	8624380	8655972	RERE	0	-	1
chr1	8624380	8655972	RERE	0	-	1
chr1	8624380	8655972	RERE	0	-	1
chr1	8624380	8655972	RERE	0	-	1
chr1	8656441	8792403	RERE	0	-	28
chr1	8656441	8817159	RERE	0	-	30
chr1	8656441	8817159	RERE	0	-	30
chr1	8792588	8817159	RERE	0	-	2
chr1	8945965	8949262	CA6	0	+	0
chr1	8945965	8949262	CA6	0	+	0
chr1	8945965	8949262	CA6	0	+	0
chr1	8945965	8957136	CA6	0	+	3
chr1	8949442	8957136	CA6	0	+	3
chr1	8949442	8951422	CA6	0	+	0
chr1	8949442	8957136	CA6	0	+	3
chr1	8957285	8958909	CA6	0	+	0
chr1	8957285	8958909	CA6	0	+	0
chr1	8957285	8958909	CA6	0	+	0
chr1	8959002	8962586	CA6	0	+	2
chr1	8959002	8962586	CA6	0	+	2
chr1	8959002	8962586	CA6	0	+	2
chr1	8962656	8967658	CA6	0	+	3
chr1	8962656	8967658	CA6	0	+	3
chr1	8962656	8967658	CA6	0	+	3
chr1	8967816	8970866	CA6	0	+	3
chr1	8967816	8970866	CA6	0	+	3
chr1	8967816	8970866	CA6	0	+	3
chr1	8970981	8974621	CA6	0	+	0
chr1	8970981	8974346	CA6	0	+	0
chr1	8970981	8974621	CA6	0	+	0
chr1	10640059	10642858	CASZ1	0	-	0
chr1	10643000	10643159	CASZ1	0	-	0
chr1	10643311	10644916	CASZ1	0	-	0
chr1	10645088	10646127	CASZ1	0	-	0
chr1	10646326	10647800	CASZ1	0	-	0
chr1	10648139	10649069	CASZ1	0	-	0
chr1	10648139	10649069	CASZ1	0	-	0
chr1	10649192	10649282	CASZ1	0	-	0
chr1	10649192	10649282	CASZ1	0	-	0
chr1	10649437	10650691	CASZ1	0	-	0
chr1	10649437	10650691	CASZ1	0	-	0
chr1	10650755	10650940	CASZ1	0	-	0
chr1	10650755	10650940	CASZ1	0	-	0
chr1	10651076	10653376	CASZ1	0	-	0
chr1	10651076	10653376	CASZ1	0	-	0
chr1	10654218	10654418	CASZ1	0	-	0
chr1	10654218	10654418	CASZ1	0	-	0
chr1	10654591	10655648	CASZ1	0	-	0
chr1	10654591	10655648	CASZ1	0	-	0
chr1	10655813	10656645	CASZ1	0	-	0
chr1	10655813	10656645	CASZ1	0	-	0
chr1	10656736	10658507	CASZ1	0	-	0
chr1	10656736	10658507	CASZ1	0	-	0
chr1	10658576	10659701	CASZ1	0	-	0
chr1	10658576	10659701	CASZ1	0	-	0
chr1	10660536	10665082	CASZ1	0	-	0
chr1	10660536	10665082	CASZ1	0	-	0
chr1	10665571	10693873	CASZ1	0	-	0
chr1	10665571	10693873	CASZ1	0	-	0
chr1	10693912	10705491	CASZ1	0	-	1
chr1	10693912	10705491	CASZ1	0	-	1
chr1	10705544	10760700	CASZ1	0	-	1
chr1	10705544	10760700	CASZ1	0	-	1
chr1	10760857	10796563	CASZ1	0	-	2
chr1	10760857	10796563	CASZ1	0	-	2
chr1	11107500	11108180	MTOR	0	-	0
chr1	11107500	11108180	MTOR	0	-	0
chr1	11108286	11109289	MTOR	0	-	0
chr1	11108286	11109289	MTOR	0	-	0
chr1	11109370	11109648	MTOR	0	-	0
chr1	11109370	11109648	MTOR	0	-	0
chr1	11109729	11112851	MTOR	0	-	0
chr1	11109729	11112851	MTOR	0	-	0
chr1	11112917	11114317	MTOR	0	-	0
chr1	11112917	11114317	MTOR	0	-	0
chr1	11114453	11114812	MTOR	0	-	0
chr1	11114453	11114812	MTOR	0	-	0
chr1	11114887	11115395	MTOR	0	-	0
chr1	11114887	11115395	MTOR	0	-	0
chr1	11115468	11117003	MTOR	0	-	0
chr1	11115468	11117003	MTOR	0	-	0
chr1	11117086	11121245	MTOR	0	-	1
chr1	11117086	11121245	MTOR	0	-	1
chr1	11121368	11121978	MTOR	0	-	0
chr1	11121368	11121978	MTOR	0	-	0
chr1	11122126	11124497	MTOR	0	-	0
chr1	11122126	11124497	MTOR	0	-	0
chr1	11124633	11126621	MTOR	0	-	0
chr1	11124633	11126621	MTOR	0	-	0
chr1	11126796	11127009	MTOR	0	-	0
chr1	11126796	11127009	MTOR	0	-	0
chr1	11127144	11127623	MTOR	0	-	0
chr1	11127144	11127623	MTOR	0	-	0
chr1	11127806	11128003	MTOR	0	-	0
chr1	11127806	11128003	MTOR	0	-	0
chr1	11128126	11128453	MTOR	0	-	0
chr1	11128126	11128453	MTOR	0	-	0
chr1	11128552	11128854	MTOR	0	-	0
chr1	11128552	11128854	MTOR	0	-	0
chr1	11128951	11129737	MTOR	0	-	0
chr1	11128951	11129737	MTOR	0	-	0
chr1	11129838	11130528	MTOR	0	-	0
chr1	11129838	11130528	MTOR	0	-	0
chr1	11130777	11133079	MTOR	0	-	0
chr1	11130777	11133079	MTOR	0	-	0
chr1	11133197	11134350	MTOR	0	-	0
chr1	11133197	11134350	MTOR	0	-	0
chr1	11134466	11139303	MTOR	0	-	0
chr1	11134466	11139303	MTOR	0	-	0
chr1	11139435	11139532	MTOR	0	-	0
