chr	start	end	gene	score	strand	line1_count
chr1	999137	1003137	ISG15	0	+	0
chr1	1018119	1022119	AGRN	0	+	0
chr1	1230236	1234236	B3GALT6	0	+	0
chr1	1322687	1326687	INTS11	0	-	0
chr1	1347418	1351418	DVL1	0	-	0
chr1	1510161	1514161	ATAD3A	0	+	0
chr1	1630162	1634162	MMP23B	0	+	0
chr1	1890292	1894292	GNB1	0	-	1
chr1	2017328	2021328	GABRD	0	+	0
chr1	2048410	2052410	PRKCZ	0	+	0
chr1	2225387	2229387	SKI	0	+	0
chr1	2411797	2415797	PEX10	0	-	0
chr1	3067167	3071167	PRDM16	0	+	0
chr1	3650515	3654515	TP73	0	+	0
chr1	3855396	3859396	CEP104	0	-	0
chr1	5988926	5992926	KCNAB2	0	+	0
chr1	6178321	6182321	CHD5	0	-	0
chr1	6783453	6787453	CAMTA1	0	+	1
chr1	8316113	8320113	SLC45A1	0	+	0
chr1	8846921	8850921	RERE	0	-	2
chr1	9627888	9631888	PIK3CD	0	+	0
chr1	9941427	9945427	NMNAT1	0	+	0
chr1	10030831	10034831	UBE4B	0	+	2
chr1	10470287	10474287	PEX14	0	+	0
chr1	10794650	10798650	CASZ1	0	-	0
chr1	11260556	11264556	MTOR	0	-	3
chr1	11804095	11808095	CLCN6	0	+	2
chr1	11804455	11808455	MTHFR	0	-	3
chr1	12228029	12232029	VPS13D	0	+	0
chr1	13581464	13585464	PDPN	0	+	0
chr1	15834094	15838094	SPEN	0	+	0
chr1	16038251	16042251	CLCNKB	0	+	0
chr1	17009928	17013928	ATP13A2	0	-	0
chr1	17052151	17056151	SDHB	0	-	0
chr1	18900724	18904724	ALDH4A1	0	-	0
chr1	19249552	19253552	EMC1	0	-	0
chr1	20659544	20663544	DDOST	0	-	0
chr1	21343572	21347572	ECE1	0	-	0
chr1	21507396	21511396	ALPL	0	+	0
chr1	21935310	21939310	HSPG2	0	-	0
chr1	22050626	22054626	CDC42	0	+	0
chr1	23176152	23180152	LUZP1	0	-	0
chr1	23342336	23346336	HNRNPR	0	-	0
chr1	23836620	23840620	HMGCL	0	-	3
chr1	23866290	23870290	FUCA1	0	-	0
chr1	26430281	26434281	DHDDS	0	+	0
chr1	26691235	26695235	ARID1A	0	+	0
chr1	26785053	26789053	PIGV	0	+	0
chr1	27320144	27324144	TMEM222	0	+	0
chr1	27602431	27606431	AHDC1	0	-	0
chr1	28503942	28507942	RCC1	0	+	2
chr1	31063991	31067991	PUM1	0	-	4
chr1	32816031	32820031	YARS1	0	-	1
chr1	35555472	35559472	NCDN	0	+	0
chr1	35555950	35559950	KIAA0319L	0	-	0
chr1	35867807	35871807	AGO1	0	+	5
chr1	36086891	36090891	ADPRS	0	+	0
chr1	37552293	37556293	SNIP1	0	-	2
chr1	37806208	37810208	YRDC	0	-	0
chr1	39079315	39083315	MACF1	0	+	0
chr1	39881511	39885511	TRIT1	0	-	0
chr1	39953111	39957111	MFSD2A	0	+	0
chr1	40095260	40099260	PPT1	0	-	0
chr1	42815397	42819397	SVBP	0	-	4
chr1	42956893	42960893	SLC2A1	0	-	0
chr1	43335817	43339817	MPL	0	+	0
chr1	43387881	43391881	SZT2	0	+	0
chr1	43703823	43707823	ST3GAL3	0	+	0
chr1	43967999	43971999	DPH2	0	+	0
chr1	44403193	44407193	RNF220	0	+	0
chr1	44984722	44988722	EIF2B3	0	-	0
chr1	45324894	45328894	HPDL	0	+	1
chr1	45338051	45342051	TOE1	0	+	1
chr1	45338893	45342893	MUTYH	0	-	1
chr1	45498299	45502299	MMACHC	0	+	0
chr1	45540732	45544732	PRDX1	0	-	2
chr1	46218305	46222305	POMGNT1	0	-	0
chr1	47312892	47316892	STIL	0	-	0
chr1	53194791	53198791	CPT2	0	+	0
chr1	53836463	53840463	NDC1	0	-	3
chr1	54762523	54766523	PARS2	0	-	0
chr1	54885195	54889195	DHCR24	0	-	0
chr1	60863258	60867258	NFIA	0	+	0
chr1	62686386	62690386	DOCK7	0	-	0
chr1	63365574	63369574	ALG6	0	+	1
chr1	65246218	65250218	DNAJC6	0	+	0
chr1	67136906	67140906	IL23R	0	+	2
chr1	68231120	68235120	WLS	0	-	0
chr1	68449103	68453103	RPE65	0	-	0
chr1	69565921	69569921	LRRC7	0	+	0
chr1	70409217	70413217	CTH	0	+	1
chr1	75722430	75726430	ACADM	0	+	0
chr1	77217430	77221430	PIGK	0	-	1
chr1	85274632	85278632	BCL10	0	-	1
chr1	89631071	89635071	LRRC8C	0	+	0
chr1	91904335	91908335	TGFBR3	0	-	1
chr1	95070951	95074951	ALG14	0	-	0
chr1	97993000	97997000	DPYD	0	-	0
chr1	99967350	99971350	SLC35A3	0	+	0
chr1	100130955	100134955	SASS6	0	-	0
chr1	101024088	101028088	DPH5	0	-	1
chr1	107138006	107142006	NTNG1	0	+	0
chr1	108873349	108877349	GPSM2	0	+	0
chr1	109211917	109215917	SARS1	0	+	0
chr1	109614103	109618103	AMPD2	0	+	1
chr1	110148493	110152493	SLC6A17	0	+	0
chr1	110629474	110633474	KCNA2	0	-	0
chr1	112955593	112959593	SLC16A1	0	-	0
chr1	113869753	113873753	PTPN22	0	-	0
chr1	113903712	113907712	AP4B1	0	-	0
chr1	114714771	114718771	NRAS	0	-	1
chr1	115835921	115839921	CASQ2	0	-	0
chr1	116370667	116374667	ATP1A1	0	+	0
chr1	119138654	119142654	WARS2	0	-	1
chr1	119646410	119650410	PHGDH	0	+	0
chr1	119766905	119770905	HMGCS2	0	-	0
chr1	145916717	145920717	PEX11B	0	-	1
chr1	145925678	145929678	RBM8A	0	-	0
chr1	147771362	147775362	GJA5	0	-	0
chr1	147900794	147904794	GJA8	0	+	2
chr1	149388620	149392620	NOTCH2NLC	0	+	1
chr1	149915844	149919844	SV2A	0	-	0
chr1	150485413	150489413	TARS2	0	+	1
chr1	150506061	150510061	ECM1	0	+	0
chr1	151006419	151010419	PRUNE1	0	+	0
chr1	151345326	151349326	RFX5	0	-	0
chr1	151457494	151461494	POGZ	0	-	0
chr1	153921360	153925360	GATAD2B	0	-	0
chr1	154218178	154222178	UBAP2L	0	+	1
chr1	154270354	154274354	HAX1	0	+	1
chr1	154565777	154569777	CHRNB2	0	+	0
chr1	154626013	154630013	ADAR	0	-	2
chr1	154868281	154872281	KCNN3	0	-	0
chr1	155138595	155142595	DPM3	0	-	2
chr1	155242699	155246699	GBA1	0	-	0
chr1	155561162	155565162	ASH1L	0	-	0
chr1	155685959	155689959	DAP3	0	+	0
chr1	155857400	155861400	GON4L	0	-	2
chr1	156145365	156149365	SEMA4A	0	+	0
chr1	156365873	156369873	CCT3	0	-	0
chr1	156589755	156593755	NAXE	0	+	0
chr1	160029990	160033990	PIGM	0	-	0
chr1	160068483	160072483	KCNJ10	0	-	0
chr1	160113758	160117758	ATP1A2	0	+	0
chr1	160284348	160288348	PEX19	0	-	1
chr1	161116085	161120085	NIT1	0	+	0
chr1	161150775	161154775	UFC1	0	+	4
chr1	161164055	161168055	PPOX	0	+	0
chr1	161312380	161316380	SDHC	0	+	0
chr1	161503429	161507429	FCGR2A	0	+	1
chr1	161629963	161633963	FCGR3B	0	-	0
chr1	161661142	161665142	FCGR2B	0	+	0
chr1	162067690	162071690	NOS1AP	0	+	0
chr1	168135667	168139667	GPR161	0	-	0
chr1	168278876	168282876	TBX19	0	+	0
chr1	169483944	169487944	SLC19A2	0	-	0
chr1	172442086	172446086	PIGC	0	-	0
chr1	172657102	172661102	FASLG	0	+	0
chr1	173475583	173479583	TNFSF4	0	-	0
chr1	173712940	173716940	KLHL20	0	+	1
chr1	173822652	173826652	DARS2	0	+	0
chr1	180228263	180232263	LHX4	0	+	1
chr1	180500954	180504954	ACBD6	0	-	3
chr1	180630021	180634021	XPR1	0	+	0
chr1	181315689	181319689	CACNA1E	0	+	0
chr1	182390206	182394206	GLUL	0	-	0
chr1	182837346	182841346	DHX9	0	+	1
chr1	183184237	183188237	LAMC2	0	+	1
chr1	184049650	184053650	TSEN15	0	+	2
chr1	185043496	185047496	RNF2	0	+	0
chr1	196607225	196611225	KCNT2	0	-	0
chr1	196649753	196653753	CFH	0	+	2
chr1	196772812	196776812	CFHR3	0	+	3
chr1	196817730	196821730	CFHR1	0	+	3
chr1	197144694	197148694	ASPM	0	-	0
chr1	197266203	197270203	CRB1	0	+	0
chr1	200667907	200671907	DDX59	0	-	3
chr1	202708454	202712454	SYT2	0	-	0
chr1	204409887	204413887	PPP1R15B	0	-	0
chr1	204826650	204830650	NFASC	0	+	1
chr1	205040936	205044936	CNTN2	0	+	0
chr1	205209702	205213702	DSTYK	0	-	1
chr1	206772541	206776541	IL10	0	-	0
chr1	207451023	207455023	CR2	0	+	2
chr1	209650425	209654425	LAMB3	0	-	0
chr1	210326251	210330251	HHAT	0	+	1
chr1	211132165	211136165	KCNH1	0	-	0
chr1	211490162	211494162	RD3	0	-	0
chr1	212856274	212860274	FLVCR1	0	+	0
chr1	213049232	213053232	RPS6KC1	0	+	0
chr1	220044530	220048530	EPRS1	0	-	1
chr1	220092131	220096131	IARS2	0	+	2
chr1	220270529	220274529	RAB3GAP2	0	-	0
chr1	222813021	222817021	DISP1	0	+	0
chr1	224112110	224116110	FBXO28	0	+	4
chr1	224173755	224177755	DEGS1	0	+	1
chr1	224435033	224439033	WDR26	0	-	0
chr1	225426925	225430925	LBR	0	-	0
chr1	225922340	225926340	PYCR2	0	-	1
chr1	226059850	226063850	H3-3A	0	+	0
chr1	226868183	226872183	PSEN2	0	+	2
chr1	226938285	226942285	COQ8A	0	+	0
chr1	228080707	228084707	ARF1	0	+	1
chr1	228147929	228151929	GJC2	0	+	0
chr1	228163803	228167803	IBA57	0	+	4
chr1	229506341	229510341	NUP133	0	-	0
chr1	230055989	230059989	GALNT2	0	+	2
chr1	230424332	230428332	PGBD5	0	-	0
chr1	230640480	230644480	COG2	0	+	2
chr1	230976980	230980980	ARV1	0	+	0
chr1	231335852	231339852	EXOC8	0	-	0
chr1	235365359	235369359	TBCE	0	+	2
chr1	235502452	235506452	B3GALNT2	0	-	0
chr1	235881724	235885724	LYST	0	-	1
chr1	236793259	236797259	MTR	0	+	1
chr1	237040183	237044183	RYR2	0	+	2
chr1	240012347	240016347	FMN2	0	+	1
chr1	241517799	241521799	FH	0	-	1
chr1	243254033	243258033	SDCCAG8	0	+	0
chr1	243849079	243853079	AKT3	0	-	0
chr1	244046546	244050546	ZBTB18	0	+	0
chr1	244862560	244866560	HNRNPU	0	-	0
chr1	247330330	247334330	NLRP3	0	+	0
chr10	128087	132087	ZMYND11	0	+	0
chr10	1047537	1051537	WDR37	0	+	0
chr10	8043377	8047377	GATA3	0	+	0
chr10	10796396	10800396	CELF2	0	+	1
chr10	12066953	12070953	DHTKD1	0	+	0
chr10	14952432	14956432	DCLRE1C	0	-	0
chr10	18657285	18661285	NSUN6	0	-	0
chr10	23190311	23194311	PTF1A	0	+	0
chr10	27153266	27157266	YME1L1	0	-	0
chr10	27502173	27506173	RAB18	0	+	0
chr10	28530492	28534492	WAC	0	+	0
chr10	43075063	43079063	RET	0	+	0
chr10	47320453	47324453	GDF2	0	+	0
chr10	49537538	49541538	ERCC6	0	-	0
chr10	49607094	49611094	CHAT	0	+	0
chr10	49608309	49612309	SLC18A3	0	+	0
chr10	60731490	60735490	ANK3	0	-	1
chr10	63519850	63523850	JMJD1C	0	-	0
chr10	68986802	68990802	KIFBP	0	+	1
chr10	69267983	69271983	HK1	0	+	0
chr10	69799879	69803879	COL13A1	0	+	0
chr10	70445951	70449951	NODAL	0	-	0
chr10	70600759	70604759	PRF1	0	-	1
chr10	70813904	70817904	SGPL1	0	+	0
chr10	71394919	71398919	CDH23	0	+	0
chr10	71849251	71853251	PSAP	0	-	0
chr10	72624131	72628131	MICU1	0	-	0
chr10	73166118	73170118	FAM149B1	0	+	1
chr10	73742371	73746371	SEC24C	0	+	0
chr10	73872591	73876591	CAMK2G	0	-	0
chr10	74149201	74153201	ADK	0	+	0
chr10	74822926	74826926	KAT6B	0	+	0
chr10	77636369	77640369	KCNMA1	0	-	0
chr10	78027522	78031522	POLR3A	0	-	0
chr10	79066965	79070965	ZMIZ1	0	+	0
chr10	86753785	86757785	BMPR1A	0	+	0
chr10	87092843	87096843	GLUD1	0	-	0
chr10	87502874	87506874	MINPP1	0	+	0
chr10	87839361	87843361	ATAD1	0	-	0
chr10	87860637	87864637	PTEN	0	+	0
chr10	87861533	87865533	KLLN	0	-	0
chr10	88951812	88955812	FAS	0	+	0
chr10	88989339	88993339	ACTA2	0	-	1
chr10	92572104	92576104	KIF11	0	+	0
chr10	93058797	93062797	CYP26C1	0	+	0
chr10	93700592	93704592	FRA10AC1	0	-	0
chr10	93755839	93759839	LGI1	0	+	0
chr10	95654711	95658711	ALDH18A1	0	-	1
chr10	95692143	95696143	TCTN3	0	-	0
chr10	97424076	97428076	RRP12	0	-	0
chr10	97638670	97642670	PI4K2A	0	+	0
chr10	99730127	99734127	COX15	0	-	0
chr10	100528000	100532000	NDUFB8	0	-	2
chr10	100733395	100737395	PAX2	0	+	0
chr10	100985366	100989366	TWNK	0	+	0
chr10	101227463	101231463	LBX1	0	-	0
chr10	101778371	101782371	FGF8	0	-	0
chr10	102392109	102396109	NFKB2	0	+	0
chr10	102501971	102505971	SUFU	0	+	0
chr10	102640502	102644502	TRIM8	0	+	0
chr10	102712397	102716397	ARL3	0	-	0
chr10	102916293	102920293	CNNM2	0	+	0
chr10	103394492	103398492	ATP5MK	0	-	0
chr10	109994367	109998367	ADD3	0	+	0
chr10	110565683	110569683	SMC3	0	+	1
chr10	110917201	110921201	BBIP1	0	-	1
chr10	117373440	117377440	PDZD8	0	-	0
chr10	120849304	120853304	WDR11	0	+	0
chr10	121596458	121600458	FGFR2	0	-	0
chr10	122456550	122460550	HTRA1	0	+	0
chr10	123006978	123010978	ACADSB	0	+	0
chr10	123152401	123156401	BUB3	0	+	0
chr10	124416976	124420976	OAT	0	-	0
chr10	129971053	129975053	EBF3	0	-	0
chr10	132784147	132788147	NKX6-2	0	-	0
chr11	505300	509300	RNH1	0	-	0
chr11	535321	539321	HRAS	0	-	0
chr11	705118	709118	DEAF1	0	-	0
chr11	796281	800281	SLC25A22	0	-	0
chr11	807753	811753	PIDD1	0	-	1
chr11	1762573	1766573	CTSD	0	-	0
chr11	2156391	2160391	IGF2	0	-	0
chr11	2159221	2163221	INS	0	-	0
chr11	2442653	2446653	KCNQ1	0	+	2
chr11	3055613	3059613	CARS1	0	-	0
chr11	3795723	3799723	PGAP2	0	+	0
chr11	6388439	6392439	SMPD1	0	+	0
chr11	6617448	6621448	TPP1	0	-	0
chr11	7968250	7972250	EIF3F	0	+	0
chr11	9263959	9267959	DENND5A	0	-	0
chr11	13494181	13498181	PTH	0	-	1
chr11	13666658	13670658	FAR1	0	+	1
chr11	14498027	14502027	COPB1	0	-	2
chr11	14890231	14894231	CYP2R1	0	-	0
chr11	17387331	17391331	KCNJ11	0	-	0
chr11	17474894	17478894	ABCC8	0	-	1
chr11	17732773	17736773	KCNC1	0	+	0
chr11	20597593	20601593	SLC6A5	0	+	0
chr11	27720058	27724058	BDNF	0	-	0
chr11	34049730	34053730	CAPRIN1	0	+	0
chr11	34913828	34917828	PDHX	0	+	0
chr11	35418063	35422063	SLC1A2	0	-	0
chr11	36508371	36512371	RAG1	0	+	1
chr11	36596279	36600279	RAG2	0	-	1
chr11	44093647	44097647	EXT2	0	+	1
chr11	44308139	44312139	ALX4	0	-	0
chr11	45802071	45806071	SLC35C1	0	+	2
chr11	45916812	45920812	PEX16	0	-	0
chr11	46119454	46123454	PHF21A	0	-	0
chr11	47212464	47216464	DDB2	0	+	0
chr11	47267160	47271160	MADD	0	+	0
chr11	47563429	47567429	PTPMT1	0	+	0
chr11	57646187	57650187	CLP1	0	+	0
chr11	57710579	57714579	TMX2	0	+	0
chr11	59140747	59144747	FAM111A	0	+	1
chr11	61359963	61363963	TMEM138	0	+	0
chr11	61390392	61394392	TMEM216	0	+	0
chr11	61750635	61754635	MYRF	0	+	0
chr11	61965634	61969634	FTH1	0	-	0
chr11	62707845	62711845	BSCL2	0	-	0
chr11	63766775	63770775	ZFTA	0	-	0
chr11	63836927	63840927	MARK2	0	+	0
chr11	63972619	63976619	COX8A	0	+	0
chr11	64289301	64293301	KCNK4	0	+	0
chr11	64809294	64813294	MEN1	0	-	2
chr11	65087323	65091323	VPS51	0	+	0
chr11	65331842	65335842	DPF2	0	+	2
chr11	65709995	65713995	KAT5	0	+	1
chr11	65718818	65722818	RNASEH2C	0	-	2
